quarter_number,station,current_status,last_occupant_id
RB_I_13_A,SGAM,Occupied,
RB_I_13_B,SGAM,Occupied,
RB_I_13_D,SGAM,Occupied,
RB_I_1_A,BRGW,Vacant,
RB_I_1_A,DRGM,Occupied,
RB_I_1_A,GAJB,Vacant,
RB_I_1_A,GNDI,Vacant,
RB_I_1_A,NWB,Vacant,
RB_I_1_A,SSGJ,Vacant,
RB_I_1_B,BRGW,Occupied,
RB_I_1_B,BSDL,Occupied,
RB_I_1_B,DRGM,Occupied,
RB_I_1_B,NWB,Occupied,
RB_I_1_B,SSGJ,Occupied,
RB_I_1_C,BRGW,Occupied,
RB_I_1_C,BSDL,Occupied,
RB_I_1_C,DRGM,Occupied,
RB_I_1_C,GNDI,Vacant,
RB_I_1_C,SSGJ,Vacant,
RB_I_1_D,BRGW,Vacant,
RB_I_1_D,BSDL,Occupied,
RB_I_1_D,DRGM,Occupied,
RB_I_1_D,GNDI,Vacant,
RB_I_1_D,NWB,Vacant,
RB_I_1_D,SSGJ,Vacant,
RB_I_2_A,BRGW,Vacant,
RB_I_2_A,BSDL,Occupied,
RB_I_2_A,DRGM,Occupied,
RB_I_2_A,GAJB,Vacant,
RB_I_2_A,GNDI,Occupied,
RB_I_2_A,MZHL,Vacant,
RB_I_2_A,NWB,Occupied,
RB_I_2_A,SSGJ,Vacant,
RB_I_2_B,BRGW,Occupied,
RB_I_2_B,BSDL,Occupied,
RB_I_2_B,DRGM,Occupied,
RB_I_2_B,GAJB,Vacant,
RB_I_2_B,GNDI,Occupied,
RB_I_2_B,MZHL,Vacant,
RB_I_2_B,NWB,Vacant,
RB_I_2_B,SSGJ,Occupied,
RB_I_2_C,BSDL,Occupied,
RB_I_2_C,DRGM,Occupied,
RB_I_2_C,GAJB,Vacant,
RB_I_2_C,GNDI,Occupied,
RB_I_2_C,MZHL,Vacant,
RB_I_2_C,NWB,Vacant,
RB_I_2_C,SSGJ,Vacant,
RB_I_2_D,BSDL,Occupied,
RB_I_2_D,DRGM,Occupied,
RB_I_2_D,GAJB,Vacant,
RB_I_2_D,GNDI,Occupied,
RB_I_2_D,MZHL,Vacant,
RB_I_2_D,NWB,Occupied,
RB_I_2_D,SSGJ,Vacant,
RB_I_3_A,BRGW,Vacant,
RB_I_3_A,BSDL,Occupied,
RB_I_3_B,BRGW,Vacant,
RB_I_4_A,BSDL,Occupied,
RB_I_4_B,BSDL,Occupied,
RB_I_4_C,BSDL,Occupied,
RB_I_4_D,BSDL,Vacant,
RB_I_5_A,BSDL,Occupied,
RB_I_5_A,SGAM,Occupied,
RB_I_5_B,BRGW,Occupied,
RB_I_7_A,SGAM,Occupied,
RB_I_7_B,SGAM,Vacant,
RB_I_7_C,SGAM,Occupied,
RB_I_7_D,SGAM,Vacant,
RB_I_8_A,SGAM,Vacant,
RB_I_8_C,SGAM,Occupied,
RB_I_8_D,SGAM,Occupied,
RB_I_9_A,SGAM,Vacant,
RB_I_9_B,SGAM,Occupied,
RB_I_9_C,SGAM,Vacant,
RB_II_10_A,BRGW,Occupied,
RB_II_10_B,BRGW,Occupied,
RB_II_10_B,SGAM,Occupied,
RB_II_10_D,BRGW,Vacant,
RB_II_11_A,SGAM,Vacant,
RB_II_11_B,SGAM,Vacant,
RB_II_12_A,SGAM,Occupied,
RB_II_12_B,SGAM,Occupied,
RB_II_12_C,SGAM,Occupied,
RB_II_12_D,SGAM,Vacant,
RB_II_17_D NEW,BRGW,Occupied,
RB_II_17_E NEW,BRGW,Occupied,
RB_II_17_F NEW,BRGW,Occupied,
RB_II_18_A NEW,BRGW,Occupied,
RB_II_20_F NEW,BRGW,Occupied,
RB_II_23_A NEW,SGAM,Occupied,
RB_II_23_B NEW,SGAM,Occupied,
RB_II_23_C NEW,SGAM,Occupied,
RB_II_23_D NEW,SGAM,Occupied,
RB_II_24_A NEW,SGAM,Occupied,
RB_II_3_A,GAJB,Vacant,
RB_II_3_B,GAJB,Vacant,
RB_II_6_A,BSDL,Vacant,
RB_II_7_A NEW,MZHL,Occupied,
RB_II_8_A NEW,MZHL,Occupied,
RB_II_8_B NEW,MZHL,Occupied,
RB_II_9_A,BRGW,Occupied,
RB_II_9_A NEW,MZHL,Occupied,
RB_II_9_C,BRGW,Occupied,
RB_II_9_D,BRGW,Occupied,
RB_III_12_A,BRGW,Occupied,
RB_III_19_A NEW,SGAM,Occupied,
RB_III_19_B NEW,SGAM,Occupied,
RB_III_20_B NEW,SGAM,Occupied,
RB_III_RSS_8_A,NWB,Occupied,
RB_III_RSS_9_A,NWB,Occupied,
RB_II_RSS_10_A,DRGM,Occupied,
RB_II_RSS_10_B,DRGM,Occupied,
RB_II_RSS_18_A,SGAM,Occupied,
RB_II_RSS_3_A,GNDI,Occupied,
RB_II_RSS_3_A,SSGJ,Occupied,
RB_II_RSS_3_B,GNDI,Occupied,
RB_II_RSS_4_A,GNDI,Occupied,
RB_II_RSS_5_B,BSDL,Occupied,
RB_II_RSS_6_A,DRGM,Occupied,
RB_II_RSS_8_A,DRGM,Occupied,
RB_II_RSS_9_A,DRGM,Occupied,
RB_II_RSS_9_B,DRGM,Occupied,
RB_I_RSS_15_A,SGAM,Vacant,
RB_I_RSS_16_A,SGAM,Occupied,
RB_I_RSS_17_B,SGAM,Vacant,
RB_I_RSS_4_D,GAJB,Occupied,
RB_I_RSS_5_A,GAJB,Occupied,
RB_I_RSS_5_B,GAJB,Occupied,
RB_I_RSS_5_C,GAJB,Occupied,
RB_I_RSS_8_A,GAJB,Vacant,
RB_IV_26_A NEW,SGAM,Occupied,
RB_IV_A_14,SGAM,Vacant,
RB_IV_B_14,SGAM,Vacant,
